cell,N,model,BS,cand_us,pr_us,speedup,exact
flash_4k_L10,1027,flash,1,4.501,7.552,1.6778,OK
flash_4k_L10,1027,flash,2,4.525,7.69435,1.7005,OK
flash_4k_L10,1027,flash,4,4.506,7.50535,1.6655,OK
flash_4k_L10,1027,flash,8,4.524,7.5855500000000005,1.6769,OK
flash_4k_L10,1027,flash,16,4.52,7.93915,1.7563,OK
flash_4k_L10,1027,flash,32,4.561,8.0496,1.7648,OK
flash_4k_L10,1027,flash,64,4.638,8.0448,1.7345,OK
flash_4k_L10,1027,flash,128,4.733,8.327950000000001,1.7596,OK
flash_4k_L10,1027,flash,256,6.493,9.343950000000001,1.4391,OK
flash_4k_L10,1027,flash,512,11.416,17.1677,1.5039,OK
flash_4k_L10,1027,flash,1024,20.661,31.7323,1.5359,OK
flash_4k_L22,1027,flash,1,3.891,7.44795,1.914,OK
flash_4k_L22,1027,flash,2,3.997,7.6223,1.9071,OK
flash_4k_L22,1027,flash,4,3.969,7.44475,1.8756,OK
flash_4k_L22,1027,flash,8,4.033,7.56155,1.8748,OK
flash_4k_L22,1027,flash,16,4.397,7.95665,1.8094,OK
flash_4k_L22,1027,flash,32,4.467,7.95185,1.7801,OK
flash_4k_L22,1027,flash,64,4.513,8.04945,1.7835,OK
flash_4k_L22,1027,flash,128,4.631,8.3632,1.8059,OK
flash_4k_L22,1027,flash,256,5.873,9.33105,1.5889,OK
flash_4k_L22,1027,flash,512,10.185,17.166150000000002,1.6854,OK
flash_4k_L22,1027,flash,1024,18.184,31.5517,1.7352,OK
flash_4k_L34,1027,flash,1,4.013,7.779100000000001,1.9386,OK
flash_4k_L34,1027,flash,2,4.069,7.89595,1.9405,OK
flash_4k_L34,1027,flash,4,4.105,7.75835,1.89,OK
flash_4k_L34,1027,flash,8,4.109,7.7166999999999994,1.8778,OK
flash_4k_L34,1027,flash,16,4.393,8.02395,1.8265,OK
flash_4k_L34,1027,flash,32,4.519,8.1824,1.8107,OK
flash_4k_L34,1027,flash,64,4.602,8.14705,1.7702,OK
flash_4k_L34,1027,flash,128,4.705,8.3455,1.7739,OK
flash_4k_L34,1027,flash,256,6.49,9.43515,1.4537,OK
flash_4k_L34,1027,flash,512,11.422,17.2845,1.5133,OK
flash_4k_L34,1027,flash,1024,20.723,31.91755,1.5402,OK
flash_8k_L10,2051,flash,1,4.606,7.990399999999999,1.7348,OK
flash_8k_L10,2051,flash,2,4.584,8.07675,1.7621,OK
flash_8k_L10,2051,flash,4,4.618,7.8527,1.7006,OK
flash_8k_L10,2051,flash,8,4.694,8.0591,1.717,OK
flash_8k_L10,2051,flash,16,4.975,8.184,1.6451,OK
flash_8k_L10,2051,flash,32,5.068,8.357700000000001,1.6491,OK
flash_8k_L10,2051,flash,64,5.14,8.389850000000001,1.6321,OK
flash_8k_L10,2051,flash,128,5.307,8.8464,1.667,OK
flash_8k_L10,2051,flash,256,8.164,9.9229,1.2155,OK
flash_8k_L10,2051,flash,512,14.337,18.19975,1.2695,OK
flash_8k_L10,2051,flash,1024,26.127,32.665099999999995,1.2502,OK
flash_8k_L22,2051,flash,1,4.403,7.9038,1.7953,OK
flash_8k_L22,2051,flash,2,4.489,8.03345,1.7896,OK
flash_8k_L22,2051,flash,4,4.515,7.90715,1.7512,OK
flash_8k_L22,2051,flash,8,4.554,8.0111,1.759,OK
flash_8k_L22,2051,flash,16,4.867,8.15185,1.6749,OK
flash_8k_L22,2051,flash,32,4.968,8.2958,1.67,OK
flash_8k_L22,2051,flash,64,5.067,8.4255,1.6629,OK
flash_8k_L22,2051,flash,128,5.263,8.79825,1.6716,OK
flash_8k_L22,2051,flash,256,8.113,9.8879,1.2187,OK
flash_8k_L22,2051,flash,512,14.333,17.8959,1.2485,OK
flash_8k_L22,2051,flash,1024,26.073,32.21405,1.2355,OK
flash_8k_L34,2051,flash,1,4.839,8.2479,1.7044,OK
flash_8k_L34,2051,flash,2,4.892,8.3695,1.7108,OK
flash_8k_L34,2051,flash,4,4.926,8.1982,1.6643,OK
flash_8k_L34,2051,flash,8,4.922,8.3632,1.6993,OK
flash_8k_L34,2051,flash,16,4.905,8.5007,1.7331,OK
flash_8k_L34,2051,flash,32,4.927,8.5118,1.7275,OK
flash_8k_L34,2051,flash,64,5.057,8.62065,1.7046,OK
flash_8k_L34,2051,flash,128,5.194,9.0255,1.7378,OK
flash_8k_L34,2051,flash,256,7.428,10.271799999999999,1.3829,OK
flash_8k_L34,2051,flash,512,12.935,18.6494,1.4418,OK
flash_8k_L34,2051,flash,1024,23.237,33.1742,1.4276,OK
flash_16k_L10,4099,flash,1,4.457,8.988700000000001,2.0168,OK
flash_16k_L10,4099,flash,2,4.547,8.92,1.9616,OK
flash_16k_L10,4099,flash,4,4.651,8.820450000000001,1.8965,OK
flash_16k_L10,4099,flash,8,4.687,9.02075,1.9247,OK
flash_16k_L10,4099,flash,16,5.057,9.211,1.8213,OK
